PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
8001|NCT00711867|Overall Study|Patients were recruited sequentially and assigned to vitalHeat2 (VH2) or Bair Hugger temperature management at random in a 1:1 ratio.|75 consented. 9 cancelled surgery or were rescheduled. 36 assigned to VH2 and 30 assigned to Bair Hugger. 6 excluded from VH2 group after randomization (2 vacuum not established, 2 research staff not available, 2 arterial line used). 5 excluded from Bair Hugger group after randomization (4 laryngeal mask airway used, 1 epidural anesthesia used).
8002|NCT00711880|Overall Study||
8003|NCT00711997|Overall Study|First subject enrolled: 26 Oct 2009 Last subject completed: 7 Oct 2010 at 4 medical centers in Israel an 1 in US|Of the 16 patients screened, 7 were screening failures due to metastatic disease
8004|NCT00712010|1st Protein Testing (1 Day)|Participants were recruited among the Nestlé Research Center staff from June 2008 to May 2009|25 healthy males were recruited; All presented all the inclusion criteria and none of the exclusion criteria listed in the protocol. The day before each test meal, the volunteers were recommended to eat normally as well as to conduct a normal physical activity. A standardized dinner was provided the night before testing.
8450|NCT00720122|Overall Study||
8451|NCT00720278|Overall Study|First observation: 14 Aug 2007 Last observation: 19 Nov 2007|Subjects participated in a 7 day screening period to Identify appropriate subjects based on symptom scores.
8452|NCT00720369|Overall Study|Please note that subjects who sign the informed consent form are considered "enrolled." Only subjects who met eligibility following screening are included in analyses and thus included in the "participant flow." Of the 42 enrolled, 19 started the study and 18 completed.|
8453|NCT00720382|Overall Study|First observation: 09 MAR 2007 Last observation: 20 JUN 2008|Subjects participated in a 7 day screening period to identify appropriate subjects based on symptom scores.
8454|NCT00720434|Double-Blind Period (Week 1-4)||
8455|NCT00720434|Open-Label Period (Week 5-72)||
8456|NCT00720629|Overall Study|Participants were enrolled at Moffitt Cancer Center between February 2008 and April 2010.|The study was closed during the single-arm, first stage and did not proceed to the second stage comparison to antithymocyte globulin (ATG) in combination with tacrolimus/methotrexate as originally planned.
8457|NCT00720759|Overall Study|Subjects were recruited between 1/5/10 and 6/3/11. Recruitment sites included: 1) The VA Rehabilitation Research and Development Brain Rehabilitation Research Center of Excellence at the Malcom Randall VA Medical Center, Gainesville, Florida; and outpatient clinics of the Brooks Rehabilitation Hospital, Jacksonville, Florida.|All potential participants who met inclusion and exclusion criteria for the study and who provided informed consent were promptly randomized and entered into the study.
8458|NCT00720941|Overall Study|Per protocol amendment, the number of participants (par.) was increased to ~1100 (including all par. enrolled in Studies VEG108844 and VEG113078 [NCT01147822; a substudy in Asian par.]). This summary is a pooled analysis of both studies. 1110 par. were analyzed; 927 from VEG108844 (reflected in the protocol enrollment field), 183 from VEG113078.|Participants were stratified based on Karnofsky Performance Scale scores (70 or 80; 90 or 100), Baseline levels of lactate dehydrogenase (>1.5 versus <=1.5 times the upper limit of normal [ULN]), and previous nephrectomy (yes versus no) and were randomized in a 1:1 ratio to receive either pazopanib or sunitinib.
8459|NCT00721123|Overall Study||
8460|NCT00721149|Overall Study||
8461|NCT00721162|Overall Study||73 participants signed informed consent.
8462|NCT00661362|Overall Study||
8174|NCT00682890|Overall Study|All recruitment and testing conducted at VCU General Clinical Research Center from August 2006 to December 2009|Following enrollment but prior to group assignment 5 subject were excluded based on screening results. Randomized remaining 23 subjects.
8387|NCT00723450|Randomized Phase|A total of 301 participants were enrolled in the study, of which 298 subjects took at least one dose of lamotrigine (LTG).  One hundred and seventy three participants met stabilization criteria and entered the Randomized Phase.|The study consisted of a 2-week Screening Phase, an 18-week Open-Label Phase, a 36-week Double-Blind Randomized Phase and a Taper and Follow-up Phase (up to 4 weeks depending on the dose the participant was taking at the last Open-Label or Randomized Phase visit), which was either open-label or double-blind depending on the phase of the study.
8388|NCT00660075|Second Intervention (Week 11 to Week 16|Location: CHUL Medical Centre Date: Fall 2007, Winter 2008, Fall 2008|2-weeks run-in period. 6-weeks treatment with sitagliptin 100mg/d or placebo. 4-weeks washout period. 6-weeks treatment with sitagliptin or placebo.
8389|NCT00660179|Overall Study|A total of 955 patients were screened from 158 centers in 39 countries, and 742 patients from 151 centers in 39 countries were randomized|
8390|NCT00660309|Overall Study||
8391|NCT00660400|Overall Study|From 05/2008 to 08/2010, 25 patients with Myelodysplastic Syndrome (MDS) were enrolled to the study at Moffitt Cancer Center.|Four patients did not proceed to allogeneic HCT.
8504|NCT00785980|Ciprofloxacin Alone|Twenty-four (24) healthy, non-smoking, adult male and female volunteers from the community at large were enrolled.|Thirty-nine (39) subjects were screened. Four (4) did not meet eligibility criteria, nine (9) had a schedule conflict prior to Period I check-in, and two (2) transferred to another study.
8505|NCT00785980|Quinine Sulfate With Ciprofloxacin|Twenty-four (24) healthy, non-smoking, adult male and female volunteers from the community at large were enrolled.|Thirty-nine (39) subjects were screened. Four (4) did not meet eligibility criteria, nine (9) had a schedule conflict prior to Period I check-in, and two (2) transferred to another study.
8506|NCT00786188|Overall Study|Recruitment Period = 29 October 2008 to 26 May 2009 Types of Locations = Research clinics|Eligible subjects were entered into a 1-week observation period followed by a 1-week run-in period. After completion of run-in period, eligible subjects were randomized to receive either Brisdelle (paroxetine mesylate) Capsules 7.5 mg or placebo in a 1:1 ratio. Study drug was administered once daily at bedtime.
8507|NCT00693498|Overall Study|Potential subjects were recruited at pre-anesthesia inpatient assessments and outpatient pre-anesthesia appointments.|
8508|NCT00693706|Overall Study||
8509|NCT00693719|Overall Study||
8510|NCT00693784|Overall Study||
8511|NCT00694070|Overall Study||
8512|NCT00694161|Part 1 (up to Week 6)||
8513|NCT00694161|Part 2 (After Week 6 up to Month 12)||
7775|NCT00706433|Overall Study|Recruitment period:  3/7/07 - 3/31/08 Types of location:  medical clinics|no enrolled participants excluded from the trial before assignment to groups
7776|NCT00706550|Overall Study|A total of 107 patients were enrolled on the study  (11/2008-2/2011 at the Michael E. DeBakey VA Medical Center, at Thomas Street Clinic and at Legacy Clinic, in Houston, TX.  Only the patients that completed the 1 month post-PV visit are included in the analysis (N=36 for each arm for a total of 72 out of the 107 initially enrolled).|
7777|NCT00706563|Overall Study||
7778|NCT00690573|Overall Study||Adalimumab dose was determined by baseline body weight (20 mg for subjects weighing < 30 kg, 40 mg for subjects weighing 30 kg or more) through Week 14.  After Week 16, dose was based on body weight measured at Week 16 and every 12 weeks. Twenty subjects received concomitant methotrexate therapy during the study.
7779|NCT00690612|Overall Study|Hypertensive children aged 1 to <11 years who had participated in the 1-year study (Protocol 328, D2451C00002-NCT00244621). First patient enrolled 17 Sep 2007 and last patient completed 9 Sep 2009 at Pediatric clinics in Europe.|Patients who had participated in the 1-year study (Protocol 328, D2451C00002-NCT00244621) and did not discontinue study due to a study drug-related adverse event (AE) and had an ongoing clinical indication for treatment with candesartan.
7780|NCT00690794|Overall Study|Patients were recruited from 70 US study centers.  Eligible patients having a diagnosis of open-angle glaucoma or ocular hypertension and on XALATAN® monotherapy for at least one month immediately prior to Visit 1 were enrolled.|726 patients were enrolled in the study and evaluated for safety.  Baseline characteristics are presented for all patients who received test article and had at least one on-therapy study visit (intent-to-treat):  678.
7781|NCT00690820|Period 1|Subjects were recruited in 10 centers in US between June 2008 and October 2008. Before the randomization, subjects were evaluated for eligibility. They underwent a short period of up to 14 days on their usual pancreatic enzyme supplementation.|Twenty three subjects had given their consent and 17 subjects were randomly allocated to pancrelipase/placebo or placebo/pancrelipase. One subject did not complete the first period of the treatment (consent withdrawal).
7782|NCT00690820|Period 2|Subjects were recruited in 10 centers in US between June 2008 and October 2008. Before the randomization, subjects were evaluated for eligibility. They underwent a short period of up to 14 days on their usual pancreatic enzyme supplementation.|Twenty three subjects had given their consent and 17 subjects were randomly allocated to pancrelipase/placebo or placebo/pancrelipase. One subject did not complete the first period of the treatment (consent withdrawal).
7783|NCT00710879|Overall Study|First participant was enrolled in this study on 07/07/2008 and last subject exited on 02/02/2009. 180 participants were enrolled at 9 investigative sites in the United States.|This study focused on participants of Japanese descent (at least one grandparent born in Japan) for a minimum of 20% of total enrollment. 180 participants were enrolled, 3 participants were ineligible at screening, 177 participants were eligible at the start of the study.
